intersection_key,road_key,time_key,covid_period,median,mean,size
กำแพงเพชร,กำแพงเพชร,16:00-19:00,หลังโควิด,1308.6666666666667,1308.6666666666667,2
กำแพงเพชร,กำแพงเพชร,16:00-19:00,โควิด,1939.0,1939.0,1
กำแพงเพชร,พหลโยธิน,07:00-09:00,ก่อนโควิด,5355.0,5355.0,2
กำแพงเพชร,พหลโยธิน,07:00-09:00,หลังโควิด,5246.25,5137.0,4
กำแพงเพชร,พหลโยธิน,07:00-09:00,โควิด,5211.0,5211.0,1
กำแพงเพชร,พหลโยธิน,09:00-16:00,ก่อนโควิด,5074.714285714286,5074.714285714286,2
กำแพงเพชร,พหลโยธิน,09:00-16:00,หลังโควิด,4620.285714285715,4620.285714285715,2
กำแพงเพชร,พหลโยธิน,09:00-16:00,โควิด,4248.0,4248.0,1
กำแพงเพชร,พหลโยธิน,16:00-19:00,ก่อนโควิด,4985.333333333334,4985.333333333334,2
กำแพงเพชร,พหลโยธิน,16:00-19:00,หลังโควิด,4991.333333333333,4991.333333333333,2
กำแพงเพชร,พหลโยธิน,16:00-19:00,โควิด,4272.333333333333,4272.333333333333,1
ขัตติยานี,พิชัย,07:00-09:00,ก่อนโควิด,833.0,833.0,1
ขัตติยานี,พิชัย,07:00-09:00,หลังโควิด,359.5,395.8333333333333,3
ขัตติยานี,พิชัย,07:00-09:00,โควิด,761.0,761.0,1
ขัตติยานี,พิชัย,09:00-16:00,ก่อนโควิด,493.57142857142856,493.57142857142856,1
ขัตติยานี,พิชัย,09:00-16:00,หลังโควิด,204.42857142857142,204.42857142857142,1
ขัตติยานี,พิชัย,09:00-16:00,โควิด,418.57142857142856,418.57142857142856,1
ขัตติยานี,พิชัย,16:00-19:00,ก่อนโควิด,391.3333333333333,391.3333333333333,1
ขัตติยานี,พิชัย,16:00-19:00,หลังโควิด,187.0,187.0,1
ขัตติยานี,พิชัย,16:00-19:00,โควิด,474.0,474.0,1
ขัตติยานี,สุโขทัย,07:00-09:00,ก่อนโควิด,1912.5,1912.5,1
ขัตติยานี,สุโขทัย,07:00-09:00,หลังโควิด,1247.0,1199.6666666666667,3
ขัตติยานี,สุโขทัย,07:00-09:00,โควิด,2261.5,2261.5,1
ขัตติยานี,สุโขทัย,09:00-16:00,ก่อนโควิด,1584.857142857143,1584.857142857143,1
ขัตติยานี,สุโขทัย,09:00-16:00,หลังโควิด,1321.857142857143,1321.857142857143,1
ขัตติยานี,สุโขทัย,09:00-16:00,โควิด,1886.0,1886.0,1
ขัตติยานี,สุโขทัย,16:00-19:00,ก่อนโควิด,1349.0,1349.0,1
ขัตติยานี,สุโขทัย,16:00-19:00,หลังโควิด,1379.3333333333333,1379.3333333333333,1
ขัตติยานี,สุโขทัย,16:00-19:00,โควิด,1333.0,1333.0,1
คลองตัน,พัฒนาการ,07:00-09:00,ก่อนโควิด,2399.25,2399.25,2
คลองตัน,พัฒนาการ,07:00-09:00,หลังโควิด,5822.25,5822.25,2
คลองตัน,พัฒนาการ,07:00-09:00,โควิด,4122.0,4122.0,1
คลองตัน,พัฒนาการ,09:00-16:00,ก่อนโควิด,2132.714285714286,2132.714285714286,2
คลองตัน,พัฒนาการ,09:00-16:00,หลังโควิด,983.5714285714286,983.5714285714286,1
คลองตัน,พัฒนาการ,09:00-16:00,โควิด,1903.2857142857142,1903.2857142857142,1
คลองตัน,พัฒนาการ,16:00-19:00,ก่อนโควิด,2084.3333333333335,2084.3333333333335,2
คลองตัน,พัฒนาการ,16:00-19:00,หลังโควิด,794.0,794.0,1
คลองตัน,พัฒนาการ,16:00-19:00,โควิด,1919.0,1919.0,1
คลองตัน,รามคำแหง,07:00-09:00,ก่อนโควิด,1878.75,1878.75,2
คลองตัน,รามคำแหง,07:00-09:00,หลังโควิด,3000.0,3000.0,2
คลองตัน,รามคำแหง,07:00-09:00,โควิด,1577.5,1577.5,1
คลองตัน,รามคำแหง,09:00-16:00,ก่อนโควิด,1647.7142857142858,1647.7142857142858,2
คลองตัน,รามคำแหง,09:00-16:00,หลังโควิด,632.5714285714286,632.5714285714286,1
คลองตัน,รามคำแหง,09:00-16:00,โควิด,1081.4285714285713,1081.4285714285713,1
คลองตัน,สุขุมวิท 71,07:00-09:00,ก่อนโควิด,1041.25,1041.25,2
คลองตัน,สุขุมวิท 71,07:00-09:00,หลังโควิด,809.0,809.0,1
คลองตัน,สุขุมวิท 71,07:00-09:00,โควิด,1165.5,1165.5,1
คลองตัน,เพชรบุรี,07:00-09:00,ก่อนโควิด,1691.5,1691.5,2
คลองตัน,เพชรบุรี,07:00-09:00,หลังโควิด,3684.5,3684.5,2
คลองตัน,เพชรบุรี,07:00-09:00,โควิด,1774.5,1774.5,1
คลองตัน,เพชรบุรี,09:00-16:00,ก่อนโควิด,1628.9285714285716,1628.9285714285716,2
คลองตัน,เพชรบุรี,09:00-16:00,หลังโควิด,1185.857142857143,1185.857142857143,1
คลองตัน,เพชรบุรี,09:00-16:00,โควิด,1812.0,1812.0,1
คลองประปา,ประชาชื่น,07:00-09:00,ก่อนโควิด,1266.5,1266.5,1
